latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
30.01243,-99.11631,30.01243,-99.11631,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,Other (Note in Description box),Jeremy McDowell,Not marked,Handheld GPS,NAD83,Jeremy McDowell,Jeremy McDowell,TXKER37093,North side of river,,,TX,Kerr County,,No,30.01243,-99.11631,48430,Guadalupe River,37093,357,2,2,Debris line on north of road,7/7/2025 5:00:00 AM,1585.4,2,4,Left,30839,8,,1,14544,Surveyed with handheld GPS only. HCFCD crew: Lindner/Justice/Wood.,Riverine,7/7/2025 5:00:00 AM,0,2,1834,1834,,,HCFCD_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.02446,-99.12736,30.02446,-99.12736,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,Other (Note in Description box),Evelina Paciocco,Not marked,Handheld GPS,NAD83,Melissa Null,Melissa Null,TXKER37095,North side of HWY 27,,,TX,Kerr County,,No,30.02446,-99.12736,48432,Guadalupe River,37095,357,2,2,Debris line at New Beginnings Church on north side of HWY 27,7/7/2025 5:00:00 AM,1599.9,2,4,Left,30940,8,,1,14643,Surveyed with handheld GPS only; HCFCD crew: Lindner/Justice/Wood,Riverine,7/7/2025 5:00:00 AM,0,2,1778,1778,,,HCFCD_5,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.02172,-99.12439,30.02172,-99.12439,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,Other (Note in Description box),Evelina Paciocco,Not marked,Handheld GPS,NAD83,Melissa Null,Evelina Paciocco,TXKER37094,North side of HWY 27 at Ernest Street,,,TX,Kerr County,,No,30.02172,-99.12439,48433,Guadalupe River,37094,357,2,2,Debris line on east side of Ernest Rd by house,7/7/2025 5:00:00 AM,1597.1,2,4,Left,30941,8,,1,14644,Surveyed with handheld GPS only; HCFCD crew: Lindner/Justice/Wood,Riverine,7/7/2025 5:00:00 AM,0,2,1778,2128,,,HCFCD_4,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.0148,-99.11988,30.0148,-99.11988,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,Other (Note in Description box),Evelina Paciocco,Not marked,Handheld GPS,NAD83,Melissa Null,Melissa Null,TXKER37096,North side of river,,,TX,Kerr County,,No,30.0148,-99.11988,48434,Guadalupe River,37096,357,2,2,Debris on ground east of HWY 27 bridge,7/7/2025 5:00:00 AM,1589,2,4,Left,30942,8,,1,14645,Surveyed with handheld GPS only; HCFCD crew: Lindner/Justice/Wood,Riverine,7/7/2025 5:00:00 AM,0,2,1778,1778,,,HCFCD_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.01282,-99.12072,30.01282,-99.12072,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,Other (Note in Description box),Evelina Paciocco,Not marked,Handheld GPS,NAD83,Melissa Null,Melissa Null,TXKER37097,South side of river,,,TX,Kerr County,,No,30.01282,-99.12072,48435,Guadalupe River,37097,357,2,2,South side of river in park east of HWY 27,7/7/2025 5:00:00 AM,1588.5,2,4,Right,30943,8,,1,14646,Surveyed with handheld GPS only; HCFCD crew: Lindner/Justice/Wood,Riverine,7/7/2025 5:00:00 AM,0,2,1778,1778,,,HCFCD_3,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.03001,-99.13368,30.03001,-99.13368,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,Other (Note in Description box),Evelina Paciocco,Not marked,Handheld GPS,NAD83,Melissa Null,Melissa Null,TXKER37098,Glen Rest Cemetery,,,TX,Kerr County,,No,30.03001,-99.13368,48436,Guadalupe River,37098,357,2,2,Debris line in cemetery,7/7/2025 5:00:00 AM,1603.2,2,4,Left,30944,8,,1,14647,Surveyed with handheld GPS only; HCFCD crew: Lindner/Justice/Wood,Riverine,7/7/2025 5:00:00 AM,0,2,1778,1778,,,HCFCD_6,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.03613,-99.13602,30.03613,-99.13602,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,Other (Note in Description box),Evelina Paciocco,Not marked,Handheld GPS,NAD83,Melissa Null,Melissa Null,TXKER37099,Ave. G and Water St.,,,TX,Kerr County,,No,30.03613,-99.13602,48437,Guadalupe River,37099,357,2,2,Debris line across from East End Pizza Co. ,7/7/2025 5:00:00 AM,1611.1,2,4,Left,30945,8,,1,14648,Surveyed with handheld GPS only; HCFCD crew: Lindner/Justice/Wood,Riverine,7/7/2025 5:00:00 AM,0,2,1778,1778,,,HCFCD_7,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.03539,-99.13763,30.03539,-99.13763,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,Other (Note in Description box),Evelina Paciocco,Not marked,Handheld GPS,NAD83,Melissa Null,Melissa Null,TXKER37100,River trail access east of G Street,,,TX,Kerr County,,No,30.03539,-99.13763,48438,Guadalupe River,37100,357,2,2,Debris line across entry road,7/7/2025 5:00:00 AM,1611.4,2,4,Right,30946,8,,1,14649,Surveyed with handheld GPS only; HCFCD crew: Lindner/Justice/Wood,Riverine,7/7/2025 5:00:00 AM,0,2,1778,1778,,,HCFCD_8,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.0412,-99.13763,30.0412,-99.13763,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,Other (Note in Description box),Evelina Paciocco,Not marked,Handheld GPS,NAD83,Melissa Null,Melissa Null,TXKER37101,Acrisure Aerospace parking lot; 1001 Water St. ,,,TX,Kerr County,,No,30.0412,-99.13763,48439,Guadalupe River,37101,357,2,2,Debris line in the parking lot,7/7/2025 5:00:00 AM,1616.1,2,4,Left,30947,8,,1,14650,Surveyed with handheld GPS only; HCFCD crew: Lindner/Justice/Wood,Riverine,7/7/2025 5:00:00 AM,0,2,1778,1778,,,HCFCD_9,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.04578,-99.14583,30.04578,-99.14583,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,Other (Note in Description box),Evelina Paciocco,Not marked,Handheld GPS,NAD83,Melissa Null,Melissa Null,TXKER37102,Along HWY 16 near Hays Park,,,TX,Kerr County,,No,30.04578,-99.14583,48440,Guadalupe River,37102,357,2,2,Debris line next to highway,7/7/2025 5:00:00 AM,1620.9,2,4,Right,30948,8,,1,14651,Surveyed with handheld GPS only; HCFCD crew: Lindner/Justice/Wood,Riverine,7/7/2025 5:00:00 AM,0,2,1778,1778,,,HCFCD_10,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
