latitude_dd,longitude_dd,eventName,hwmTypeName,hwmQualityName,verticalDatumName,elev_ft,waterbody
30.01243,-99.11631,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1585.4,Guadalupe River
30.02446,-99.12736,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1599.9,Guadalupe River
30.02172,-99.12439,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1597.1,Guadalupe River
30.0148,-99.11988,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1589.0,Guadalupe River
30.01282,-99.12072,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1588.5,Guadalupe River
30.03001,-99.13368,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1603.2,Guadalupe River
30.03613,-99.13602,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1611.1,Guadalupe River
30.03539,-99.13763,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1611.4,Guadalupe River
30.0412,-99.13763,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1616.1,Guadalupe River
30.04578,-99.14583,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1620.9,Guadalupe River
30.06748,-99.5562,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,2013.5,Guadalupe River
30.05912,-99.49487,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1939.1,Guadalupe River
30.06276,-99.46908,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1904.5,Guadalupe River
30.06309,-99.46692,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1901.2,Guadalupe River
30.05275,-99.45249,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1886.5,Guadalupe River
30.05231,-99.45011,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1884.9,Guadalupe River
30.06089,-99.44606,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1873.3,Guadalupe River
30.06292,-99.44513,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1872.8,Guadalupe River
30.05559,-99.42081,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1846.9,Guadalupe River
30.05795,-99.41815,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1847.0,Guadalupe River
30.06218,-99.39618,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1830.1,Guadalupe River
30.07442,-99.35797,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1786.0,Guadalupe River
30.07536,-99.35423,2025 July TX Flood,Debris,Good: +/- 0.10 ft,NAVD88,1783.1,Guadalupe River
