STAID,STANAME,Lat,Long,start_date,end_date
11467270,Russian R a Highway 1 Bridge NR Jenner CA,38.4340222,-123.1011083,2018-04-26,2025-05-08
11467002,Russian R a Johnsons Beach a Guerneville CA,38.49935758,-122.9983325,2007-12-19,2025-05-08
11467000,Russian R a Hacienda Bridge NR Guerneville CA,38.50848204,-122.9277345,2007-10-01,2025-05-08
11465390,Russian R NR Windsor CA,38.5157047,-122.8646775,2009-06-02,2025-05-08
11465350,Dry C NR Mouth NR Healdsburg CA,38.58737009,-122.8621784,2007-10-01,2025-05-08
11465240,Dry C Blw Lambert BR NR Geyserville CA,38.65320165,-122.927181,2011-11-10,2025-05-08
11464000,Russian R NR Healdsburg CA,38.6132032,-122.8363448,1987-10-02,2025-05-08
11463980,Russian R a Digger Bend NR Healdsburg CA,38.63292489,-122.8555123,2007-10-01,2025-05-08
11463900,Maacama C NR Kellogg CA,38.6409811,-122.7638434,2012-10-29,2025-05-08
11463682,Russian R a Jimtown CA,38.65820245,-122.8294009,2009-07-01,2025-05-08
11463500,Russian R a Geyserville CA,38.7126453,-122.8957923,2012-08-09,2025-05-08
11463170,BIG SULPHUR C A G RESORT NR CLOVERDALE CA,38.79764466,-122.8024578,2007-10-01,2025-05-08
11463200,Big Sulphur C NR Cloverdale CA,38.8259757,-122.9969077,2007-10-01,2025-05-08
11463000,Russian R NR Cloverdale CA,38.87930758,-123.0535767,2007-10-01,2025-05-08
11462500,Russian R NR Hopland CA,39.0265265,-123.1305253,2007-10-01,2025-05-08
11462080,Russian R NR Talmage CA,39.1129134,-123.183028,2009-08-06,2025-05-08
11461500,EF Russian R NR Calpella CA,39.24652277,-123.1302509,2007-10-01,2025-05-08
11467200,Austin C NR Cazadero CA,38.5065363,-123.0696826,2007-10-01,2025-05-08
11466800,Mark West C NR Mirabel Heights CA,38.4940385,-122.853288,2007-10-01,2025-05-08
11466320,Santa Rosa C a Willowside RD NR Santa Rosa CA,38.44519026,-122.8072129,2007-10-01,2025-05-08
11465750,Laguna DE Santa Rosa C NR Sebastopol CA,38.42546874,-122.8291584,2007-10-01,2025-05-08
11466200,Santa Rosa C a Santa Rosa CA,38.43654076,-122.7246727,2007-10-01,2025-05-08
11466170,Matanzas C a Santa Rosa CA,38.43876314,-122.7024499,2007-10-01,2025-05-06
11465690,Colgan C NR Santa Rosa CA,38.40209687,-122.7330057,2007-10-01,2025-05-08
11465700,Colgan C NR Sebastopol CA,38.37348597,-122.768284,2007-10-01,2025-05-08
11465680,Laguna DE Santa Rosa a Stony PT RD NR Cotati CA,38.3520977,-122.7441164,2007-10-01,2025-05-08
11465660,Copeland C a Rohnert Park CA,38.34324776,-122.7019317,2007-10-01,2025-05-08
