agency_cd,site_no,datetime,tz_cd,16340_00065,16340_00065_cd,,
5s,15s,datetime,6s,14n,Obs,TORRENT,UNET
USGS,11463500,2/25/19 1:00,PST,28.39,8.653272,,
USGS,11463500,2/25/19 1:15,PST,28.35,8.64108,,
USGS,11463500,2/25/19 1:30,PST,28.33,8.634984,,
USGS,11463500,2/25/19 1:45,PST,28.3,8.62584,,
USGS,11463500,2/25/19 2:00,PST,28.28,8.619744,,
USGS,11463500,2/25/19 2:15,PST,28.24,8.607552,,
USGS,11463500,2/25/19 2:30,PST,28.22,8.601456,,
USGS,11463500,2/25/19 2:45,PST,28.21,8.598408,,
USGS,11463500,2/25/19 3:00,PST,28.17,8.586216,,
USGS,11463500,2/25/19 3:15,PST,28.15,8.58012,,
USGS,11463500,2/25/19 3:30,PST,28.12,8.570976,,
USGS,11463500,2/25/19 3:45,PST,28.11,8.567928,,
USGS,11463500,2/25/19 4:00,PST,28.08,8.558784,,
USGS,11463500,2/25/19 4:15,PST,28.06,8.552688,,
USGS,11463500,2/25/19 4:30,PST,28.04,8.546592,,
USGS,11463500,2/25/19 4:45,PST,28.03,8.543544,,
USGS,11463500,2/25/19 5:00,PST,28,8.5344,,
USGS,11463500,2/25/19 5:15,PST,27.98,8.528304,,
USGS,11463500,2/25/19 5:30,PST,27.98,8.528304,,
USGS,11463500,2/25/19 5:45,PST,27.95,8.51916,,
USGS,11463500,2/25/19 6:00,PST,27.94,8.516112,,
USGS,11463500,2/25/19 6:15,PST,27.92,8.510016,,
USGS,11463500,2/25/19 6:30,PST,27.91,8.506968,,
USGS,11463500,2/25/19 6:45,PST,27.9,8.50392,,
USGS,11463500,2/25/19 7:00,PST,27.89,8.500872,,
USGS,11463500,2/25/19 7:15,PST,27.88,8.497824,,
USGS,11463500,2/25/19 7:30,PST,27.87,8.494776,,
USGS,11463500,2/25/19 7:45,PST,27.86,8.491728,,
USGS,11463500,2/25/19 8:00,PST,27.86,8.491728,,
USGS,11463500,2/25/19 8:15,PST,27.86,8.491728,,
USGS,11463500,2/25/19 8:30,PST,27.84,8.485632,,
USGS,11463500,2/25/19 8:45,PST,27.83,8.482584,,
USGS,11463500,2/25/19 9:00,PST,27.82,8.479536,,
USGS,11463500,2/25/19 9:15,PST,27.81,8.476488,,
USGS,11463500,2/25/19 9:30,PST,27.81,8.476488,,
USGS,11463500,2/25/19 9:45,PST,27.82,8.479536,,
USGS,11463500,2/25/19 10:00,PST,27.81,8.476488,,
USGS,11463500,2/25/19 10:15,PST,27.82,8.479536,,
USGS,11463500,2/25/19 10:30,PST,27.83,8.482584,,
USGS,11463500,2/25/19 10:45,PST,27.83,8.482584,,
USGS,11463500,2/25/19 11:00,PST,27.85,8.48868,,
USGS,11463500,2/25/19 11:15,PST,27.85,8.48868,,
USGS,11463500,2/25/19 11:30,PST,27.87,8.494776,,
USGS,11463500,2/25/19 11:45,PST,27.89,8.500872,,
USGS,11463500,2/25/19 12:00,PST,27.91,8.506968,,
USGS,11463500,2/25/19 12:15,PST,27.94,8.516112,,
USGS,11463500,2/25/19 12:30,PST,27.98,8.528304,,
USGS,11463500,2/25/19 12:45,PST,28.02,8.540496,,
USGS,11463500,2/25/19 13:00,PST,28.04,8.546592,,
