Date,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data,Flow Data
2019-02-22,267,8150,452,88.5,98.2,17.6,251,5.36,2.85,21.0,7.77,2500,3070,4400,77.8,3210,2460,251,239
2019-02-23,215,7600,365,74.5,79.4,14.4,193,3.82,2.4,18.7,6.76,2720,3050,4030,66.5,3010,2340,235,203
2019-02-24,181,7050,300,67.6,67.2,13.4,126,3.06,2.27,17.8,6.54,2300,1860,3760,60.7,2720,1860,241,186
2019-02-25,3580,5900,542,822.0,712.0,259.0,161,85.2,139.0,135.0,70.1,1500,872,4480,630.0,4880,3020,2200,2460
2019-02-26,14100,33000,4520,5390.0,3900.0,1570.0,2050,630.0,454.0,1730.0,354.0,8170,4160,35500,2910.0,22800,14800,4730,6100
2019-02-27,7140,66800,10100,5500.0,2510.0,727.0,-1050,314.0,108.0,1230.0,177.0,7770,3720,59400,1360.0,26300,16200,3250,4710
2019-02-28,1580,61900,14000,3330.0,1180.0,141.0,3420,35.0,12.5,199.0,54.3,2050,1060,23400,355.0,8380,4720,850,1380
2019-03-01,917,35800,6600,1580.0,884.0,79.1,2320,18.1,6.96,98.5,34.2,1370,1700,9840,207.0,4610,3290,516,873
2019-03-02,752,21100,3680,1190.0,829.0,175.0,1160,54.2,42.3,269.0,65.7,4280,4950,8720,171.0,5690,5080,809,1110
2019-03-03,612,18700,2600,502.0,342.0,77.9,892,16.4,9.87,124.0,32.2,4380,4890,9020,150.0,5640,4780,594,846
2019-03-04,511,16100,1890,319.0,247.0,53.4,465,5.89,6.21,83.7,22.7,3760,3130,8090,125.0,4940,3880,450,672
2019-03-05,560,11400,1430,348.0,260.0,64.2,431,6.42,15.7,91.9,35.3,1880,1100,6390,126.0,3290,2420,408,608
