wkt_geom,fid,STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
Point (-2295482.62183144455775619 2127517.0481256078928709),1,11461000,RUSSIAN R NR UKIAH CA,Non-ref,WestMnts,259.6455,18,39.195447,-123.195005,CA,,yes,59,57,20
Point (-2288555.61254118243232369 2131451.79554944578558207),2,11461500,EF RUSSIAN R NR CALPELLA CA,Non-ref,WestXeric,238.6782,18,39.246556,-123.130281,CA,,yes,68,60,20
Point (-2294805.41404421906918287 2127544.96669257897883654),3,11462000,EF RUSSIAN R NR UKIAH CA,Non-ref,WestXeric,271.8342,18,39.197391,-123.187505,CA,,yes,58,56,20
Point (-2295522.32671425491571426 2107799.78091128822416067),4,11462500,RUSSIAN R NR HOPLAND CA,Non-ref,WestXeric,938.709,18,39.026563,-123.130559,CA,,yes,70,60,20
Point (-2293823.03139164578169584 2090107.42634449061006308),5,11463000,RUSSIAN R NR CLOVERDALE CA,Non-ref,WestXeric,1302.663,18,38.879348,-123.053612,CA,,yes,58,58,20
Point (-2275648.85762851545587182 2075281.826408501714468),6,11463170,BIG SULPHUR C A G RESORT NR CLOVERDALE CA,Non-ref,WestXeric,33.8634,18,38.797683,-122.802493,CA,,yes,29,29,20
Point (-2290823.66208073263987899 2083003.05981472041457891),7,11463200,BIG SULPHUR C NR CLOVERDALE CA,Non-ref,WestXeric,220.8726,18,38.826017,-122.996944,CA,,yes,15,15,0
Point (-2277340.72095863753929734 2057393.46988780796527863),8,11463900,MAACAMA C NR KELLOGG CA,Non-ref,WestXeric,114.1371,18,38.640186,-122.763601,CA,,,20,20,0
Point (-2285181.32530299853533506 2058823.22783784847706556),9,11463980,RUSSIAN R A DIGGER BEND NR HEALDSBURG CA,Non-ref,WestXeric,2050.299,18,38.632965,-122.855549,CA,,yes,0,0,0
Point (-2284209.93103402853012085 2056239.49310291931033134),10,11464000,RUSSIAN R NR HEALDSBURG CA,Non-ref,WestXeric,2056.271,18,38.613243,-122.836382,CA,,yes,70,60,20
Point (-2301096.75297716073691845 2077087.74778495170176029),11,11464500,DRY C NR CLOVERDALE CA,Ref,WestXeric,227.6307,18,38.749632,-123.092225,CA,,,39,31,0
Point (-2294464.30055489437654614 2071643.9933754988014698),12,11465000,DRY C BL WARM SPGS DAM NR GEYSERVILLE CA,Non-ref,WestXeric,338.0238,18,38.719632,-123.000556,CA,,yes,31,28,20
Point (-2291612.33198622381314635 2068346.92037070263177156),13,11465200,DRY C NR GEYSERVILLE CA,Non-ref,WestXeric,421.5618,18,38.698521,-122.958054,CA,,yes,50,50,20
Point (-2287157.59848567703738809 2054080.08763890061527491),14,11465350,DRY C NR MOUTH NR HEALDSBURG CA,Non-ref,WestXeric,559.8117,18,38.58741,-122.862216,CA,,yes,0,0,0
Point (-2281461.05209251772612333 2023939.79356848169118166),15,11465660,COPELAND C A ROHNERT PARK CA,Non-ref,WestXeric,14.229,18,38.34325,-122.70193,CA,,yes,0,0,0
Point (-2284696.5230893143452704 2025911.1963611226528883),16,11465680,LAGUNA DE SANTA ROSA A STONY PT RD NR COTATI CA,Non-ref,WestXeric,107.3151,18,38.352137,-122.744155,CA,,yes,10,10,10
Point (-2282216.28341811476275325 2031028.40617871191352606),17,11465690,COLGAN C NR SANTA ROSA CA,Non-ref,WestXeric,8.7327,18,38.40214,-122.73304,CA,,yes,0,0,0
Point (-2286039.91300726495683193 2028795.30795853771269321),18,11465700,COLGAN C NR SEBASTOPOL CA,Non-ref,WestXeric,17.9136,18,38.373525,-122.768323,CA,,yes,10,10,10
Point (-2289474.73139237472787499 2035852.06993380002677441),19,11465750,LAGUNA DE SANTA ROSA C NR SEBASTOPOL CA,Non-ref,WestXeric,209.2266,18,38.425469,-122.829158,CA,,yes,10,10,10
Point (-2276191.01683154422789812 2035445.56369749549776316),20,11466065,BRUSH C A SANTA ROSA CA,Non-ref,WestXeric,26.9235,18,38.454911,-122.680264,CA,,yes,0,0,0
Point (-2278537.80697833048179746 2034243.1140593197196722),21,11466170,MATANZAS C A SANTA ROSA CA,Non-ref,WestXeric,56.016,18,38.4388,-122.70249,CA,,yes,0,0,0
Point (-2280452.71471097739413381 2034536.91577434726059437),22,11466200,SANTA ROSA C A SANTA ROSA CA,Non-ref,WestXeric,144.756,18,38.436579,-122.72471,CA,,yes,2,0,0
Point (-2287036.70797797152772546 2037446.6967735318467021),23,11466320,SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA,Non-ref,WestXeric,199.3878,18,38.44519,-122.807213,CA,,yes,10,10,10
Point (-2289337.76608856813982129 2043819.75386149995028973),24,11466800,MARK WEST C NR MIRABEL HEIGHTS CA,Non-ref,WestXeric,652.1787,18,38.494078,-122.853326,CA,,yes,3,3,3
Point (-2295061.48695164825767279 2047170.17849911190569401),25,11467000,RUSSIAN R NR GUERNEVILLE CA,Non-ref,WestXeric,3465.202,18,38.508523,-122.927774,CA,,yes,70,60,20
Point (-2306893.06167399557307363 2050398.03599691297858953),26,11467200,AUSTIN C NR CAZADERO CA,Ref,WestMnts,162.6129,18,38.50658,-123.069724,CA,,yes,13,13,6
