wkt_geom,fid,STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
Point (-2278081.2917619333602488 2091061.96241178642958403),1,11448500,ADOBE C NR KELSEYVILLE CA,Non-ref,WestXeric,16.3287,18,38.926844,-122.880828,CA,,,24,24,0
Point (-2279457.68897351901978254 2111144.63973909895867109),2,11449100,SCOTTS C NR LAKEPORT CA,Non-ref,WestXeric,145.9638,18,39.095449,-122.961664,CA,,,20,20,0
Point (-2274993.73973947716876864 2090230.048268080689013),3,11449500,KELSEY C NR KELSEYVILLE CA,Ref,WestXeric,95.3343,18,38.9274,-122.843605,CA,,yes,62,59,19
Point (-2252173.99878210993483663 2083254.25766300223767757),4,11451000,CACHE C NR LOWER LAKE CA,Non-ref,WestXeric,1364.252,18,38.924065,-122.565815,CA,,yes,65,60,20
Point (-2249166.34300654614344239 2110539.19228731654584408),5,11451100,NF CACHE C A HOUGH SPRING NR CLEARLAKE OAKS CA,Ref,WestXeric,155.0943,18,39.165446,-122.619986,CA,yes,yes,38,38,20
Point (-2244912.03640077309682965 2099405.77773576509207487),6,11451300,NF CACHE C NR CLEARLAKE OAKS CA,Non-ref,WestXeric,311.6871,18,39.080449,-122.53637,CA,,yes,24,24,20
Point (-2249488.08855356834828854 2093560.78552233707159758),7,11451500,NF CACHE C NR LOWER LAKE CA,Non-ref,WestXeric,513.7902,18,39.019062,-122.56887,CA,,,51,32,0
Point EMPTY,8,11453500,PUTAH C NR GUENOC CA,Non-ref,WestXeric,293.4459,18,38.778791,-122.517481,CA,,yes,59,38,11
Point EMPTY,9,11456000,NAPA RIVER NEAR ST. HELENA CALIF,Non-ref,WestXeric,212.3388,18,38.511297,-122.455813,CA,,yes,67,54,14
Point EMPTY,10,11458000,NAPA R NR NAPA CA,Non-ref,WestXeric,566.3358,18,38.368246,-122.303309,CA,,yes,53,50,20
Point (-2267546.10073909489437938 2028746.73995098657906055),11,11458433,SONOMA CREEK A KENWOOD CA,Non-ref,WestXeric,36.8712,18,38.4188,-122.562761,CA,,yes,1,1,1
Point EMPTY,12,11458500,SONOMA C A AGUA CALIENTE CA,Non-ref,WestXeric,150.3756,18,38.323247,-122.494426,CA,,yes,34,34,8
Point (-2295482.62183144455775619 2127517.0481256078928709),13,11461000,RUSSIAN R NR UKIAH CA,Non-ref,WestMnts,259.6455,18,39.195447,-123.195005,CA,,yes,59,57,20
Point (-2288555.61254118243232369 2131451.79554944578558207),14,11461500,EF RUSSIAN R NR CALPELLA CA,Non-ref,WestXeric,238.6782,18,39.246556,-123.130281,CA,,yes,68,60,20
