STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
"11449500",KELSEY C NR KELSEYVILLE CA,Ref,WestXeric,95.334300,"18",38.927400,-122.843605,CA,,yes,62.000000,59.000000,19.000000
"11449100",SCOTTS C NR LAKEPORT CA,Non-ref,WestXeric,145.963800,"18",39.095449,-122.961664,CA,,,20.000000,20.000000,0.000000
"11448500",ADOBE C NR KELSEYVILLE CA,Non-ref,WestXeric,16.328700,"18",38.926844,-122.880828,CA,,,24.000000,24.000000,0.000000
"11451500",NF CACHE C NR LOWER LAKE CA,Non-ref,WestXeric,513.790200,"18",39.019062,-122.568870,CA,,,51.000000,32.000000,0.000000
"11466320",SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA,Non-ref,WestXeric,199.387800,"18",38.445190,-122.807213,CA,,yes,10.000000,10.000000,10.000000
"11451300",NF CACHE C NR CLEARLAKE OAKS CA,Non-ref,WestXeric,311.687100,"18",39.080449,-122.536370,CA,,yes,24.000000,24.000000,20.000000
"11466200",SANTA ROSA C A SANTA ROSA CA,Non-ref,WestXeric,144.756000,"18",38.436579,-122.724710,CA,,yes,2.000000,0.000000,0.000000
"11451100",NF CACHE C A HOUGH SPRING NR CLEARLAKE OAKS CA,Ref,WestXeric,155.094300,"18",39.165446,-122.619986,CA,yes,yes,38.000000,38.000000,20.000000
"11466170",MATANZAS C A SANTA ROSA CA,Non-ref,WestXeric,56.016000,"18",38.438800,-122.702490,CA,,yes,0.000000,0.000000,0.000000
"11451000",CACHE C NR LOWER LAKE CA,Non-ref,WestXeric,1364.252000,"18",38.924065,-122.565815,CA,,yes,65.000000,60.000000,20.000000
"11466065",BRUSH C A SANTA ROSA CA,Non-ref,WestXeric,26.923500,"18",38.454911,-122.680264,CA,,yes,0.000000,0.000000,0.000000
"11458433",SONOMA CREEK A KENWOOD CA,Non-ref,WestXeric,36.871200,"18",38.418800,-122.562761,CA,,yes,1.000000,1.000000,1.000000
"11467200",AUSTIN C NR CAZADERO CA,Ref,WestMnts,162.612900,"18",38.506580,-123.069724,CA,,yes,13.000000,13.000000,6.000000
"11467000",RUSSIAN R NR GUERNEVILLE CA,Non-ref,WestXeric,3465.202000,"18",38.508523,-122.927774,CA,,yes,70.000000,60.000000,20.000000
"11462000",EF RUSSIAN R NR UKIAH CA,Non-ref,WestXeric,271.834200,"18",39.197391,-123.187505,CA,,yes,58.000000,56.000000,20.000000
"11466800",MARK WEST C NR MIRABEL HEIGHTS CA,Non-ref,WestXeric,652.178700,"18",38.494078,-122.853326,CA,,yes,3.000000,3.000000,3.000000
"11461500",EF RUSSIAN R NR CALPELLA CA,Non-ref,WestXeric,238.678200,"18",39.246556,-123.130281,CA,,yes,68.000000,60.000000,20.000000
"11461000",RUSSIAN R NR UKIAH CA,Non-ref,WestMnts,259.645500,"18",39.195447,-123.195005,CA,,yes,59.000000,57.000000,20.000000
"11463200",BIG SULPHUR C NR CLOVERDALE CA,Non-ref,WestXeric,220.872600,"18",38.826017,-122.996944,CA,,yes,15.000000,15.000000,0.000000
"11463170",BIG SULPHUR C A G RESORT NR CLOVERDALE CA,Non-ref,WestXeric,33.863400,"18",38.797683,-122.802493,CA,,yes,29.000000,29.000000,20.000000
"11463000",RUSSIAN R NR CLOVERDALE CA,Non-ref,WestXeric,1302.663000,"18",38.879348,-123.053612,CA,,yes,58.000000,58.000000,20.000000
"11462500",RUSSIAN R NR HOPLAND CA,Non-ref,WestXeric,938.709000,"18",39.026563,-123.130559,CA,,yes,70.000000,60.000000,20.000000
"11464500",DRY C NR CLOVERDALE CA,Ref,WestXeric,227.630700,"18",38.749632,-123.092225,CA,,,39.000000,31.000000,0.000000
"11471500",EEL R A VAN ARSDALE DAM NR POTTER VALLEY CA,Non-ref,WestMnts,904.247100,"18",39.388496,-123.116116,CA,,yes,98.000000,60.000000,20.000000
"11464000",RUSSIAN R NR HEALDSBURG CA,Non-ref,WestXeric,2056.271000,"18",38.613243,-122.836382,CA,,yes,70.000000,60.000000,20.000000
"11463980",RUSSIAN R A DIGGER BEND NR HEALDSBURG CA,Non-ref,WestXeric,2050.299000,"18",38.632965,-122.855549,CA,,yes,0.000000,0.000000,0.000000
"11463900",MAACAMA C NR KELLOGG CA,Non-ref,WestXeric,114.137100,"18",38.640186,-122.763601,CA,,,20.000000,20.000000,0.000000
"11465660",COPELAND C A ROHNERT PARK CA,Non-ref,WestXeric,14.229000,"18",38.343250,-122.701930,CA,,yes,0.000000,0.000000,0.000000
"11465350",DRY C NR MOUTH NR HEALDSBURG CA,Non-ref,WestXeric,559.811700,"18",38.587410,-122.862216,CA,,yes,0.000000,0.000000,0.000000
"11465200",DRY C NR GEYSERVILLE CA,Non-ref,WestXeric,421.561800,"18",38.698521,-122.958054,CA,,yes,50.000000,50.000000,20.000000
"11465000",DRY C BL WARM SPGS DAM NR GEYSERVILLE CA,Non-ref,WestXeric,338.023800,"18",38.719632,-123.000556,CA,,yes,31.000000,28.000000,20.000000
"11465750",LAGUNA DE SANTA ROSA C NR SEBASTOPOL CA,Non-ref,WestXeric,209.226600,"18",38.425469,-122.829158,CA,,yes,10.000000,10.000000,10.000000
"11465700",COLGAN C NR SEBASTOPOL CA,Non-ref,WestXeric,17.913600,"18",38.373525,-122.768323,CA,,yes,10.000000,10.000000,10.000000
"11465690",COLGAN C NR SANTA ROSA CA,Non-ref,WestXeric,8.732700,"18",38.402140,-122.733040,CA,,yes,0.000000,0.000000,0.000000
"11465680",LAGUNA DE SANTA ROSA A STONY PT RD NR COTATI CA,Non-ref,WestXeric,107.315100,"18",38.352137,-122.744155,CA,,yes,10.000000,10.000000,10.000000
